supplier_code,name,price,barcode
"0","Check out our new stock and specials","0.0000","6882"
"000195","PLASTIC COLOUR BASKET W/HANDLE","2.4500","4973430001953 "
"000369","PLASTIC WAFFLE COOKER (D-5076)","0.8500","4973430003698"
"000897","PLASTIC FOOD STRAGE W/COOL PAD 500ML (D-5653)","0.8500","4973430008976"
"000904","PLASTIC PUTIT FUNNEL 3PC (D-5936)","1.9500","4973430009041"
"001198","PLASTIC COFFEE FILTER CASE (D-5883)","0.4500","4973430011983"
"001624","PLASTIC TUBE POT 340ml-WHITE","1.9500","4973430016247"
"001625","PLASTIC TUBE POT 240ml-WHITE","1.9000","4973430016254"
"001768","PLASTIC SUSHI ROLLER","1.6000","4973430017688"
"001885","PLASTIC BATH BUCKET W/HANDLE WHITE","1.9500","4973430018852"
"001888","PLASTIC FACE BUCKET WHITE","2.2500","4973430018883"
"001891","PLASTIC BATH BUCKET WHITE","2.0500","4973430018913"
"002258","PLASTIC A4 BINDER STAND WHITE","2.0500","4973430022583 "
"002270","PLASTIC ROCK PACK WITH HANDLE 1500","2.3500","4973430022705 "
"002277","PLASTIC FIT IN PACK 300 3P W","2.0000","4973430022774"
"002279","PLASTIC FIT IN PACK 900 WHITE","1.9000","4973430022798"
"018008","PLASTIC COSMETIC CASE 2PC (18-008)","0.9000","4982790180086"
"018041","PLASTIC HAIR CLIP 2P","1.4000","4982790180413 "
"018114","BLUSH BRUSH (18-114)","0.9000","4982790181144"
"018129","EYE HOLE BRUSH (18-129)","0.9000","4982790181298"
"018620","COSMETIC BRUSH SET (18-620)","1.0000","4982790186200"
"018621","MASCARA & EYEBROW BRUSH 2PC (18-621)","1.0000","4982790186217"
"018740","EYE SHADOW BRUSH 10P (18-740)","0.9000","4982790187405"
"018771","PLASTIC PUSH BOTTLE 280ML (18-771)","1.5000","4982790187719"
"018773","PLASTIC PUSH CLEAR BOTTLE 100ml (18-773)","1.1500","4982790187733"
"018774","PLASTIC SPRAY BOTTLE 240ML (18-774)","1.3500","4982790187740"
"018775","PLASTIC SPRAY CLEAR BOTTLE 120ml (18-775)","1.2500","4982790187757"
"018778","PLASTIC CREAM CASE L - 20G","1.3500","4982790187788 "
"018779","PLASTIC CREAM CASE M 2PX10G","1.4000","4982790187795 "
"018792","STAINLESS TWEEZER (18-792)","1.6000","4982790187924 "
"018795","PLASTIC CREAM CASE 3PC (18-795)","0.9500","4982790187955"
"018796","STAINLESS STEEL PORE CLEANING STICK","1.7500","4982790187962 "
"018937","COMPRESSED FACIAL MASK 10PIECES","1.5000","4982790189379 "
"018939","MAKE UP SPONGE (18-939)","1.7000","4982790189393"
"018950","PU HAIRBAND CLEAR 200P","1.5000","4982790189508"
"021053","STAINLESS SCISSORS FOR CRAFT (21-053)","1.7000","4982790210530"
"021054","STAINLESS SCISSORS 8INCH","2.1500","4982790210547 "
"022101","PLASTIC BELT HOOK KEY CHAIN","1.6500","4982790221017 "
"022102","KEY CHAIN - 30cm","1.5000","4982790221024 "
"023025","REUSABLE HUMID REMOVER SHEET","1.6500","4956810230259 "
"024113","POLYESTER CUSION CASE B5 ","2.3500","4982790241138 "
"024119","POLYESTER CUSION CASE - 10X8CM","1.3500","4982790241190 "
"026015","PLASTIC LINE CURL","1.6500","4982790260153 "
"026273","PLASTIC CLIP CURLER (LARGE/3P)","1.1500","4982790262737 "
"026275","PLASTIC CLIP CURLER (SMALL/5P)","1.1500","4982790262751 "
"026277","PLASTIC HAIR CURLER LARGE /5P","1.6000","4982790262775"
"026279","PLASTIC HAIR CURLER SMALL/6P","1.6000","4982790262799"
"027139","COTTON TOWEL TURBAN 160x100MM (27-139)","0.9000","4982790271395"
"027341","PLASTIC SPONGE HAIR CURLER(LARGE 3P)","1.6000","4982790273412 "
"027343","PLASTIC SPONGE HAIR CURLER(SMALL 5P)","1.6000","4982790273436 "
"027344","3PCS IRON HAIR CLIP","1.5000","4982790273443 "
"029170","PLASTIC CABLE TIE S 2.5X100MM - 120PC","1.2500","4982790291706"
"029214","METAL RULER 30cm","1.5000","4982790292147 "
"029240","MEASURE 5M (29-240)","1.9500","4982790292406"
"029376","CORD TUBE 1.5M (29-376)","1.6000","4982790293762"
"029496","WAXED SHOES LACE 75 cm BLACK - ROUND","1.2500","4982790294967 "
"029497","WAXED SHOES LACE 75 cm DARK BROWN - ROUND","1.2500","4982790294974 "
"029507","GLASSES STRAP - PLASTIC BEADS","1.6500","4982790295070 "
"029527","SHOESLACE 100cm - FLAT","1.0500","4982790295278 "
"029528","SHOESLACE 100cm - ROUND","1.0500","4982790295285 "
"029539","ELASTIC SHOESLACE 120cm - FLAT","1.3500","4982790295391 "
"029540","ELASTIC SHOESLACE 100cm - FLAT","1.3000","4982790295407 "
"029658","ELASTIC SHOESLACE 100cm COLOR - FLAT","1.4500","4982790296589 "
"029660","RAIN COAT XL - 75X120CM","2.3500","4982790296602 "
"029661","VINYL RAIN JACKET L - 65X120CM","2.3500","4982790296619 "
"029662","RAIN COAT M - 65X110CM","2.3500","4982790296626 "
"029664","VINYL RAIN COAT (CHILD) - 60X90CM","2.3500","4982790296640"
"030071","KITCHEN KNIFE","1.7000","4982790300712"
"030201","PALM SCOURER 165x95x55MM (30-201)","1.6500","4982790302013"
"030203","PALM SCOURER SLIM","1.5000","4982790302037 "
"030212","KITCHEN BRUSH WITH WOOD HANDLE","1.6000","4982790302129 "
"030213","MINI KITCHEN BRUSH WITH HANDLE - 12CM","1.5000","4982790302136"
"030221","BOTTLE BRUSH 340x65x65MM (30-221)","2.1500","4982790302211"
"030557","ALUMINUM NET SPONGE 3PC","2.1500","4982790305571 "
"030560","STEEL SCRUB 30G 3P (30-560)","1.7500","4982790305601"
"030633","TEA POT SPOUT CLEANING BRUSH 3PC","2.3000","4982790306332"
"030720","NYLON STORAGE BAG w/ZIPPER A3 5P","1.6500","4982790307209 "
"030722","NYLON STORAGE BAG w/ZIPPER A4 8P","1.3500","4982790307223 "
"030724","NYLON STORAGE BAG w/ZIPPER A5 15P","1.3500","4982790307247 "
"030731","NYLON BAG w/ZIPPER A9 60P","1.0000","4982790307315 "
"030918","PLASTIC STORAGE RACK EXTRA LARGE","2.8500","4982790309180"
"030919","PLASTIC STORAGE RACK LARGE","2.6000","4982790309197"
"030920","PLASTIC STORAGE RACK WHITE M","2.4000","4982790309203"
"030921","PLASTIC STORAGE RACK WHITE LONG","2.5000","4982790309210"
"030971","MELAMINE MAGIC SPONGE REGULAR 4P","1.8000","4982790309715 "
"030999","PLASTIC GLOVES 100P","1.9500","4982790309999"
"031393","PLASTIC ROLL PAPER CASE 125x125x130HMM (K-004)","1.0000","4952110313937"
"032365","ACRYLIC RULER 30cm","1.1500","4982790323650 "
"032556","ALMINUM RULER 30cm","1.6500","4982790325562 "
"032690","ACRYLIC RULER 50cm","1.8500","4982790326903 "
"032728","MAGNET TAPE 3M*10MM - 1.2MM THICKNESS","1.8500","4982790327283 "
"032729","MAGNET TAPE 1.5m*20mm","1.9000","4982790327290 "
"032736","ACRYLIC RULER 15cm","1.0500","4982790327368 "
"032961","LAMINATE A4 220*307m","1.8500","4982790329614"
"032962","LAMINATE A5 2PC 158*220m","1.8500","4982790329621"
"032989","ALMINUM RULER 15cm","1.5000","4982790329898 "
"032995","FOLDING MAGNIFYING GLASS 58MM","1.7500","4982790329959"
"032996","FOLDING DUAL MAGNIFYING GLASS 27mm","2.1500","4982790329966 "
"034295","THERMAL & INSULATED BAG 360x300x140MM (34-295)","1.0000","4982790342958"
"034298","THERMAL & INSULATED BAG TOTE (34-298) - 28*18cm","1.0000","4982790342989"
"034589","OVEN POT MAT (34-589)","0.8500","4982790345898"
"034654","FOIL THERMAL & COOLER BAG - L - 36X29X16CM","2.2500","4982790346543 "
"034655","THERMAL & COOLER BAG - M - 26X21X13CM","1.8500","4982790346550 "
"034658","ALUMINIUM THERMAL & COOLER BAG - 4cans","2.3500","4982790346581 "
"034659","ALUMINIUM THERMAL & COOLER BAG - 6CANS - 14X21X14CM","2.2500","4982790346598 "
"035066","LACE ARM BAND (35-066)","0.8500","4973938360163"
"035287","LONG HAND CATCHER WITH METAL POLE - 82CM","2.1500","4982790352872 "
"035317","IRON DIAL LOCK WIDTH","1.6500","4982790353176 "
"035318","IRON DIAL LOCK LENGTH","1.6500","4982790353183 "
"035322","THERMAL & COOLER BAG - L - 36X30X14CM","2.3500","4982790353220 "
"035323","THERMAL & COOLER BAG WITH PATTERN - M - 26X21X13CM","1.8500","4982790353237 "
"038097","PLASTIC TABLE MAT 45x30CM (38-097)","0.8500","4982790380974"
"038232","PLASTIC TABLE MAT OVAL 56x38CM (38-232)","0.9000","4982790382329"
"038798","FELT (38-798)","0.7500","4982790387980"
"038860","PLASTIC TOILET BRUSH 40CM W/CASE","2.0000","4982790388604"
"038892","COTTON MITTEN - GLOVE","1.7500","4982790388925 "
"038893","COTTON MITTEN - GLOVE","2.0000","4982790388932"
"038895","COTTON MITTEN - MAT","1.2500","4982790388956 "
"038932","WIRE HANGER 41cm 7P","1.8500","4982790389328 "
"038937","WIRE HANGER 41cm 7P MONOTONE","1.8000","4982790389373 "
"039231","CERAMIC PEELER WITH SPROUT REMOVER","1.9000","4982790392311"
"039239","THICK STRAW 8x210mm (STRIPE) 80PC","1.6500","4982790392397"
"039265","KITCHEN KNIFE WITH HOLES - 29CM","2.5000","4982790392656"
"039266","STAINLESS STEEL KNIFE FOR VEGITABLE","2.3500","4982790392663"
"039267","STAINLESS STEEL MULTIPURPOSE KITCHEN KNIFE - 27CM","2.3500","4982790392670"
"039271","STEEL KITCHEN KNIFE FOLDABLE","1.8500","4982790392717"
"039312","MELAMINE MAGIC SPONGE WIDE","1.5000","4982790393127"
"040035","SHOES INSOLE (40-035)","0.7500","4982790400351"
"040094","PAPER STRAINER FOR BATHROOM DRAIN - 12PC","1.6000","4982790400948 "
"040095","PAPER HAIR CATCHIN STICKER 10P","1.7500","4982790400955"
"040113","MINI DUSTER","1.4500","4982790401136"
"040313","PLASTIC TOILET BRUSH CORNER","1.8000","4982790403130"
"040374","COTTON SHOELACE 120CM - FLAT","1.1000","4982790403741 "
"040375","COTTON SHOELACE ROUND - 120CM","1.1000","4982790403758 "
"040403","GLASSES STRAP 2PC","1.2500","4982790404038"
"040631","NYLON TOWEL DOT 28x100CM","1.8000","4982790406315"
"040789","PLASTIC SPRAY BOTTLE 500ML","1.8500","4982790407893 "
"040806","POLYESTER BIKE ROPE 3M","1.7000","4982790408067 "
"040807","POLYESTER BICYCLE ROPE 2.2m","1.5000","4982790408074 "
"040859","TRAVEL COMPRESSIBLE BAG - NO MACHINE NEEDED - 40x50cm","2.2500","4982790408593"
"040860","TRAVEL COMPRESSIBLE BAG - NO MACHINE NEEDED - 35x40cm","2.0000","4982790408609 "
"040869","PLASTIC TRAVEL SUIT CASE BELT (40-869)","1.3500","4982790408692"
"040871","TRAVEL BAG BELT (40-871)","0.8500","4982790408715"
"040878","TRAVEL SET WITH PLASTIC POUCH","2.1500","4982790408784 "
"040879","PLASTIC TRAVEL SEWING SET","1.5000","4982790408791 "
"040930","POLYESTER STRING COLOR 100mm (40-930)","0.8500","4982790409309"
"040994","PLASTIC TRAVEL POUCH 130x170x55MM (40-994)","2.0000","4982790409941"
"041157","EARPLUG SOFT 1PR ","1.3000","4982790411579"
"041261","DENTAL FLOSS STICKS 50PC (41-261)","1.8500","4982790412613"
"043204","PLASTIC DISPOSABLE SHOWER CAP 10PC ","1.3500","4982790432048"
"043213","WASHABLE DUSTER 480MM","2.2500","4982790432130"
"043216","EXTENDABLE WINDOW CLEARNER","2.0000","4982790432161"
"043228","POLYESTER SHOWER CAP","1.4000","4982790432284"
"043237","BODY SCRUB W/STRING","1.7000","4982790432376"
"044235","VACUUM BAG 90x100CM","2.3500","4982790442351"
"044236","VACUUM BAG 60x90CM ","1.8500","4982790442368"
"044250","LAUNDRY BAG 60x60CM","2.1000","4982790442504"
"044256","LAUNDRY BAG 33xDIA22CM","1.6500","4982790442566"
"044258","LAUNDRY BAG DIA25CM","1.6500","4982790442580"
"044272","PLASTIC LAUNDRY SQUARE GRIP HANGER 18P","2.8500","4982790442726 "
"044273","PLASTIC LAUNDRY CIRCLE GRIP HANGER 15P","2.5000","4982790442733 "
"044274","PLASTIC LAUNDRY OVAL GRIP HANGER 16P","2.5000","4982790442740"
"045798","COTTON HAT BLACK - On Special","2.2500","4982790457980"
"045800","COTTON HAT NAVY - On Special","2.2500","4982790458000"
"045801","COTTON HAT BEIGE - On Special","2.2500","4982790458017"
"045802","COTTON HAT WINE - On Special","2.2500","4982790458024"
"045803","COTTON HAT WHITE - On Special","2.2500","4982790458031"
"066719","RUBBER HAND GLOVES THIN M PINK","2.1000","4904510667196 "
